sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
InCtrl-18-r6,InCtrl,18,6,2.7,6,31.6,4.3,12,33.2,4.3,15,28,4.8,20,24.4,NA,0,52.26,51.62
InCtrl-19-r6,InCtrl,19,6,3,6,29.9,4,12,32.7,4,15,28.3,4,20,20.4,NA,0,51.5,59.12
InCtrl-20-r6,InCtrl,20,6,2.1,6,32.4,3.3,12,34.4,4.5,15,26.4,4.3,21,23.4,NA,0,45.27,66.32
ExCtrl-1-r41,ExCtrl,1,41,2.9,6,36.8,4.3,12,37.4,5,15,25.1,4.6,32,23.4,NA,0,60.08,52.55
ExCtrl-2-r41,ExCtrl,2,41,2.7,3,36.7,3.3,10,40.4,4.9,16,27.1,4.6,21,24.3,NA,0,51.7,67.25
ExCtrl-3-r41,ExCtrl,3,41,2.1,3,38.7,3.3,12,38.3,3.8,15,24,5,30,25.8,NA,0,42.58,44.43
ExCtrl-4-r41,ExCtrl,4,41,1.3,6,NA,2.2,9,38.2,4,15,28.9,4.1,21,27,NA,0,34.1,43.61
ExCtrl-5-r41,ExCtrl,5,41,2.4,3,31.9,3.5,9,41.4,5.3,15,29.2,4.9,24,21.1,NA,0,57.68,45.98
ExCtrl-6-r42,ExCtrl,6,42,2,3,32.9,3.4,9,31.7,4.2,13,28.8,4.3,13,28.3,NA,0,40.4,19.55
ExCtrl-7-r42,ExCtrl,7,42,1.4,3,45.2,2.1,8,45.5,3.5,15,34.9,4,13,31.7,NA,0,29.62,37.22
ExCtrl-8-r42,ExCtrl,8,42,2.9,6,35.2,3.7,12,33.7,4.7,14,28.4,5.1,13,29.3,NA,0,42.22,64.46
ExCtrl-9-r42,ExCtrl,9,42,0.9,3,NA,2,9,40.4,3.1,13,29.8,3.3,19,33.2,NA,0,23.75,27.79
ExCtrl-10-r42,ExCtrl,10,42,3.3,6,34.3,4.2,12,32.3,4.9,15,25.2,5.2,17,25.4,NA,0,46.56,54.85
