sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
702-8-r37,702,8,37,2.1,6,37.8,3.2,9,37.2,3.2,15,26.2,3.7,19,27.9,NA,0,30.67,34.13
702-9-r37,702,9,37,1.5,6,45.9,3.1,9,29.9,3,13,35.5,4,19,26.5,NA,0,25.4,31.9
702-10-r37,702,10,37,2.5,6,37.3,3.6,12,31.8,3.8,14,27.7,3.6,19,22.2,NA,0,35.95,29.38
702-11-r35,702,11,35,1.7,6,39.5,4,9,36.1,3.9,11,30.5,3.8,19,26,NA,0,36.28,43.22
702-12-r35,702,12,35,1.7,6,32.7,3.3,12,34.6,3,15,25.9,3.4,19,24.6,NA,0,33.6,40.47
702-13-r35,702,13,35,2.4,6,34.8,3.5,9,33.3,3.6,15,26.2,3.8,19,26,NA,0,34.53,49.53
702-14-r35,702,14,35,2,6,41.8,2.4,9,31.8,3,15,27,3.2,21,20.2,NA,0,26.76,39.86
702-15-r35,702,15,35,2.1,3,38.2,3.6,11,33.8,3.7,13,25.8,4.1,19,26.1,NA,0,35.38,40.62
702-16-r13,702,16,13,1.8,3,52.3,3,9,43.6,3.2,12,28.7,3.4,18,28.4,NA,0,31.73,47.67
702-17-r13,702,17,13,1.4,3,36.8,2.3,9,35.4,3.1,12,30.2,3.6,18,27.1,NA,0,35.67,35.84
702-18-r13,702,18,13,2.6,6,36.1,3.8,12,34.5,3.7,15,27.7,3.8,27,19.1,NA,0,43.04,61.82
702-19-r13,702,19,13,1.9,6,36.1,2.9,12,32.4,3.3,15,22.3,3.4,25,27,NA,0,37.24,37.88
702-20-r13,702,20,13,3,6,34.3,3.4,9,33.9,4,15,26.8,3.8,28,24.8,NA,0,48.49,52.56
717-1-r24,717,1,24,2.5,6,47.3,2.2,9,32.8,3.3,15,31.1,3.6,20,23.5,NA,0,31.03,44.45
717-2-r24,717,2,24,2.7,3,29.1,3.3,9,32,3.9,15,27,4.1,18,26.1,NA,0,39.2,49.68
717-3-r24,717,3,24,2.4,3,33.5,3.3,9,37.6,4.1,15,29,4.3,27,25.5,NA,0,45.06,37.23
717-4-r24,717,4,24,1.8,3,39.4,3.2,9,38.4,4,15,30,4.1,23,26.8,NA,0,42.86,27.43
717-5-r24,717,5,24,0.6,5,NA,3,14,35.7,4,20,26.9,4,21,25.6,NA,0,38.81,37.11
717-6-r33,717,6,33,3,6,36.6,5,12,39.2,5.4,17,43.8,7.8,78,51.6,0.001345,46,263.83,103.72
717-7-r33,717,7,33,1.5,6,37.1,3.7,12,34.7,3.4,20,29.2,3.6,30,25.3,NA,0,49.47,57.93
717-8-r33,717,8,33,2.7,3,31.4,3.5,9,32.9,3.9,15,27.4,4.1,24,25.8,NA,0,44.42,96.54
717-9-r33,717,9,33,1.5,6,39.4,2.9,9,36.7,3.1,18,26.7,3.3,16,24.8,NA,0,26.61,26.91
717-10-r33,717,10,33,2.6,6,34.6,3.9,12,33.5,3.7,24,29.4,3.9,25,24.1,NA,0,50.36,39.84
717-11-r21,717,11,21,2,6,39.7,4,12,34,4.2,15,28.1,5.1,24,26.6,NA,0,57.28,68.78
717-12-r21,717,12,21,2.1,6,38.3,4.1,9,34.4,4.5,15,31.4,5.3,24,26.3,NA,0,53.56,91.29
717-13-r21,717,13,21,1,6,NA,2.9,9,29.2,3.1,14,30.3,4.2,19,22.3,NA,0,33.54,30.57
717-14-r21,717,14,21,2.1,6,38.9,2.8,9,30.9,4.5,15,33,4.6,26,24.5,NA,0,43.63,57.02
717-15-r21,717,15,21,2.4,6,44.8,3.4,9,47.4,4.3,18,32.3,3.9,30,29.4,NA,0,59.98,74.44
717-16-r30,717,16,30,2,4,32.7,4.6,10,29.4,4.4,15,29.9,4.7,21,25.4,NA,0,42.67,37.16
717-17-r30,717,17,30,1.3,3,NA,1.1,6,NA,4.3,18,34.5,4.2,29,24.1,NA,0,35.76,28.01
