"Sum Sq","Df","F value","Pr(>F)","trait","term"
21282.5689473689,1,425.621733886112,3.73531344892227e-76,"chloro","(Intercept)"
77.5239932217082,2,0.775185939592078,0.460963798582384,"chloro","type"
1290.66421052627,3,8.60382880323998,1.26150810897052e-05,"chloro","factor(wk)"
2144.31615287391,6,7.14722269699669,1.94419570995192e-07,"chloro","type:factor(wk)"
40002.7860476949,800,NA,NA,"chloro","Residuals"
96.4126315789497,1,60.2917208679336,2.45943400750576e-14,"height","(Intercept)"
0.124004210983458,2,0.0387730692162506,0.961970763458315,"height","type"
43.8446052631557,3,9.13942035325615,5.9370356884124e-06,"height","factor(wk)"
43.239573416143,6,4.50665064691208,0.000167286077348565,"height","type:factor(wk)"
1300.07019778688,813,NA,NA,"height","Residuals"
505.473684210621,1,4.08542129077354,0.0435819150305734,"leaf","(Intercept)"
15.1391947137017,2,0.0611802259351166,0.940658024614668,"leaf","type"
2985.15789473656,3,8.04237556469625,2.76245989351179e-05,"leaf","factor(wk)"
7140.0798357797,6,9.61811830833199,3.06554488014417e-10,"leaf","type:factor(wk)"
100589.407068328,813,NA,NA,"leaf","Residuals"
