"contrast","estimate","SE","df","t.ratio","p.value"
"717A - 733B",-5.62639607903596,5.92604703381324,32.1868492073545,-0.949434934777345,0.716399416445406
"717A - Sterile",-0.998897733254943,6.23871522276775,32.3606181539812,-0.160112731161303,0.873787543005447
"733B - Sterile",4.62749834578101,6.44134863184251,32.7643232739974,0.718405199014565,0.716399416445406
